folder,alias,name,description,class,size,type,CS,OC,PAVA,Hexachloroethane,Terephthalic Acid,Silica,Paint,manufacturer,manufacturer_weblink,item_number,PPB,MCSO,OSP,DHS,item_image,image_alt_text,weblink,spec_sheet,safety_data_sheet,source
20,military_style_orange,Military-Style Orange Smoke Grenade,military style orange smoke ,grenade,6 15.2,pyrotechnic,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,1066,,,,1,DSC_0698.jpg,,,Colored-Smoke-Grenade.pdf,Defense Technology 1066 - Military-Style Smoke Grenade - Orange.pdf,
21,pepperball_inert,INERT,purple and white or purple pepper ball,projectile,0.68,powder ball,0,0,0,0,0,1,0,PepperBall®,https://www.pepperball.com/,,1,,,,DSC_0561.jpg,,https://www.pepperball.com/products/inert/,spec-round-inert-19141.pdf,sds_SDS-Inert-081115.pdf,
22,military_style_saf,Military-Style Saf-Smoke™ Grenade,,grenade,6 15.2,pyrotechnic,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,1063,,,,1,DSC_0551x.jpg,,https://www.defense-technology.com/product/military-style-saf-smoke-grenade/,Saf-Smoke-Grenade.pdf,Defense Technology 1063 - Military-Style Smoke Grenade - Saf-Smoke.pdf,
23,pepperball_livex,LIVE-X™,red and black pepper ball,projectile,0.68,powder ball,0,1,1,0,0,0,0,PepperBall®,https://www.pepperball.com/,,,,,1,DSC_0123x.jpg,,https://www.pepperball.com/products/live-x/,spec_PepperBall-Projectile-Round-Live-X.pdf,sds_SDS-LiveX-081115.pdf,
24,fn303_pavaoc,PAVA/OC Powder,fn303 red,projectile,0.68,metal and powder ball,0,1,1,0,0,0,0,FN America,https://fnamerica.com,,,,,1,DSC_0123x.jpg,,https://fnamerica.com/products/less-lethal/projectiles/,,00003685017010-0726(2)_split_3.pdf,
25,fn303_paint_washable,Washable Paint,fn303 pink,projectile,0.68,metal and powder ball,0,0,0,0,0,0,1,FN America,https://fnamerica.com,,,,,1,DSC_0711.jpg,,https://fnamerica.com/products/less-lethal/projectiles/,,00003685017010-0726(2)_split_1.pdf,
26,rubber_ball_32cal,Stinger® 32 Caliber Rubber Ball Grenade,stinger hanball,grenade,7.9 13.2,explosive,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1090,,,,1,DSC_0154.jpg,,https://www.defense-technology.com/product/stinger-32-caliber-rubber-ball-grenade/,Stinger-Grenade-w_Safety-Clip.pdf,Defense Technology 1090 1090SC- Stinger 32-Caliber Rubber Balls - w wo Safety Clip - North America.pdf,
27,direct_impact_40mm_oc,Direct Impact® 40 mm OC Crushable Foam Round,40 mm direct impact oc,projectile,40,shot shell,0,1,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,6320,,1,,,DSC_0702.jpg,,https://www.defense-technology.com/product/direct-impact-40-mm-oc-crushable-foam-round/,40mm-Direct-Impact-Round.pdf,Defense Technology 6320 - Direct Impact 40mm Round - OC.pdf,
28,fn303_pain_indelible,Indelible Paint,fn303 yellow,projectile,0.68,metal and powder ball,0,0,0,0,0,0,1,FN America,https://fnamerica.com,,,,,1,DSC_0713.jpg,,https://fnamerica.com/products/less-lethal/projectiles/,,00003685017010-0726(2)_split_4.pdf,
29,pepperball_marking,MARKING,green pepperball,projectile,0.68,powder ball,0,0,0,0,0,0,1,PepperBall®,https://www.pepperball.com/,,,,,1,DSC_0123x.jpg,,https://www.pepperball.com/products/marking/,spec-round-marking-19141.pdf,00003685017010-0726(2)_split_5.pdf,
30,csi_pocket_cs,Tactical Grenade CS Smoke,,grenade,3.6 12.4,pyrotechnic,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,8230,,,,,DSC_0643.jpg,,https://www.combinedsystems.com/product/8230-outdoor-tactical-grenade-cs/,8210-8220-8230-CTS-Rev-C.pdf,CS Model 8230 Tactical CS Smoke Grenade.pdf,
31,csi_40mm_smoke_longrange,40MM Outdoor White Smoke Long Range,,projectile,40,shot shell,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,4210,,,,,EdfIe6WUMAAQEVR.jpg,,https://www.combinedsystems.com/product/4210-40mm-outdoor-white-smoke-long-range/,4210-4220-4230-CTS-Rev-C.pdf,,https://twitter.com/KimBrater/status/1285716656329838595/photo/1
32,csi_40mm_cs,40mm Riot CS Smoke Projectile,,projectile,40,shot shell,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,4230,,,,,DSC_0652.jpg,,https://www.combinedsystems.com/product/4230-40mm-cs-smoke-pyro-long-range/,4213-4223-4233-CTS-Rev-C.pdf,,
33,csi_skat_40mm_smoke,40mm White Smoke Multi Projectile (3),,projectile,40,shot shell,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,4213,,,,,DSC_0660.jpg,,https://www.combinedsystems.com/product/4230-40mm-cs-smoke-pyro-4-8-long-range/,4213-4223-4233-CTS-Rev-C.pdf,,
34,csi_grenade_smoke,Yellow Smoke,,grenade,,pyrotechnic,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1069,,,,,DSC_0663.jpg,,https://www.defense-technology.com/product/military-style-yellow-smoke-grenade/,Colored-Smoke-Grenade.pdf,Defense Technology 1069 - Military-Style Smoke Grenade - Yellow.pdf,
35,csi_rubber_ball,"Grenade, Non-Lethal",hand ball,grenade,,explosive,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,9593,,,,,DSC_0664.jpg,,https://www.combinedsystems.com/product/9593-cs-sting-ball-grenade-approx-105-rubber-balls/,9592-9593-9594-CTS-Rev-C,,
36,rap4_pava,PAVA Less Lethal,red powderball globe case,projectile,0.68,powder ball,0,0,0,0,0,0,0,RAP4,,15948,,,,,DSC_0666.jpg,,https://web.archive.org/web/20121215164645/http://www.rap4.com/store/paintball/less-lethal-live-agent-rounds,,,
37,pepperball_live,LIVE™,red or red and white pepperball,projectile,0.68,powder ball,0,0,0,0,0,0,0,PepperBall®,https://www.pepperball.com/,,,,,,DSC_0669.jpg,,https://www.pepperball.com/products/live/,spec-round-LIVE-19141.pdf,00003685017010-0726(2)_split_2.pdf,
38,csi_grenade_cs,Riot CS,,grenade,6 15.2,pyrotechnic,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,6230,,,,,DSC_0675.jpg,,https://www.combinedsystems.com/product/6230-cs-canister-grenade/,6210-6220-6230-CTS-Rev-D.pdf,CS Model 6230 CS Smoke Grenade.pdf,
39,csi_stinger_40mm_60cal,40MM Sting-BALLTM Smokeless 60CAL Rubber Pellet,rubber buckshot,projectile,40,shot shell,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,4558,,,,,DSC_0681.jpg,,https://www.combinedsystems.com/product/4558-40mm-60-cal-sting-balls-smokeless-4-8-long/,4558-CTS-Rev-C.pdf,CS Model 4558 CTG 40mm 0.6 Rubber Ball Smokeless.pdf,
40,csi_rubber_ball_60cal,STING BALL,hand ball,grenade,,explosive,0,0,0,0,0,0,0,"Combined Systems, Inc",https://www.combinedsystems.com/,9590,,,,,DSC_0688.jpg,,https://www.combinedsystems.com/product/9590-no-irritant-sting-ball-grenade-priced-individually-must-order-in-quantities-of-12/,,CS Model 9590 Grenade Sting Ball .314 Pellets.pdf,
41,sage_37mm_impact,37MM Sage Rifled - Impact,Impact baton ,projectile,37,shot shell,0,0,0,0,0,0,0,Sage Control Ordnance Inc.,http://www.sageinternationalltd.com/SCOI/index.html,KO1,,,,,DSC_0147.jpg,,http://www.sageinternationalltd.com/SCOI/ko1.html,,,
42,pocket_green,"Pocket Tactical Grenade, Green Smoke™",,grenade,3.6 12,pyrotechnic,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1017G,,,,,Ee423oiUwAAw8Ii.jpg,,https://www.defense-technology.com/product/tactical-smoke-grenade-green/,6210-6220-6230-CTS-Rev-D.pdf,Pocket-Tactical-Grenade.pdf,https://twitter.com/45thabsurdist/status/1292030478556336133/photo/1
43,muzzle_blast_40mm_oc,"Muzzle Blast 40 mm Round, OC",,projectile,40,shot shell,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,6040,,,,,EdL3xL3U0AA0T6g.jpg,,https://www.defense-technology.com/product/muzzle-blast-40-mm-round-oc/,40mm-Muzzle-Blast.pdf,Defense Technology 6040 - Muzzle Blast 40 mm Round - OC.pdf,https://twitter.com/R3volutionDaddy/status/1284361273652600832
44,spede_heat_40mm_cs,"Spede-Heat™ 40 mm Long-Range Round, CS",,projectile,40,shot shell,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,6182,,,,,EdL3xL3U0AA0T6g.jpg,,https://www.defense-technology.com/product/spede-heat-40-mm-long-range-round-cs/,40mm-Spede-Heat-Long-Range.pdf,Defense Technology 6182 - Spede-Heat 40mm Long-Range Round - CS.pdf,https://twitter.com/R3volutionDaddy/status/1284361273652600832
45,flashbang_12gauge,Low Roll® 12-Gram Non-Reloadable Distraction Device®,low roll flash bang,grenade,5 14.61,flashbang,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,8902NR,,,,,Clipboard02.jpg,,https://www.defense-technology.com/product/low-roll-12-gram-non-reloadable-distraction-device/,Distraction-Device-Low-Roll-NR-8902NR_8902NR-HH.pdf,Defense Technology 8902NR - 12-Gram Low Roll Non-Reloadable Distraction Device.pdf,https://twitter.com/Antifa_Phoenix/status/1284824128281669632
46,trichamber_cs,Flameless Tri-Chamber CS Grenade,cs flameless grenade,grenade,6.7 16.8,flameless,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1032,,,,,DSC_0781.jpg,,https://www.defense-technology.com/product/flameless-tri-chamber-cs-grenade/,Tri-Chamber-Flameless-Grenade.pdf,Defense Technology 1032 - Tri-Chamber Flameless CS Grenade - US.pdf,
47,pocket_oc,"Pocket Tactical Grenade, OC",oc tactical,grenade,3.6 12,pyrotechnic,0,1,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1019,,,,,DSC_0783.jpg,,https://www.defense-technology.com/product/pocket-tactical-grenade-oc/,Pocket-Tactical-Grenade.pdf,Defense Technology 1019 - Pocket Tactical Grenade OC.pdf,
48,rubber_ball_32ca_cs,Stinger® CS Caliber Rubber Ball Grenade,stinger hanball,grenade,7.9 13.2,explosive,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1,,,,,DSC_0896.jpg,,https://www.defense-technology.com/product/stinger-cs-rubber-ball-grenade/,Stinger-Grenade.pdf,Defense Technology 1088 - Stinger Rubber Ball Grenade -CS.pdf,
49,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,
