folder	name	description	class	size	type	CS	OC	PAVA	ZnCl	HC	Smoke	Talc	Paint	manufacturer	manufacturer_weblink	item number	PPB	MCSO	OSP	DHS	item image	image alt text	weblink	spec sheet	saftey data sheet	notes
1	P.Round™	red dimple ball	projectile	0.68	powder ball		1	1						Qian Wei Paintball Support Co.Ltd	https://web.archive.org/web/20190111210057/http://pround-aps.com/					1	DSC_0113x.jpg		https://web.archive.org/web/20190111210057/http://pround-aps.com/ProundSpec.htm			
2	P.Round™	orange and yellow dimple ball	projectile	0.68	powder ball		1	1						Qian Wei Paintball Support Co.Ltd	https://web.archive.org/web/20190111210057/http://pround-aps.com/					1	DSC_0113x.jpg		https://web.archive.org/web/20190111210057/http://pround-aps.com/ProundSpec.htm			
3	Stinger® 40 mm 60-Caliber Rubber Balls Round	rubber buckshot	projectile	40	shot shell									Defense Technology®	https://www.defense-technology.com/	6097					DSC_0125.jpg		https://www.defense-technology.com/product/stinger-40-mm-60-caliber-rubber-balls-round/	40mm-Stinger-60-Cal-Rubber-Ball-Round-6097.pdf	Defense Technology 6097 - 40MM 60 Caliber Stinger Rubber Ball Smokeless Round.pdf	
4	Skat Shell® 40 mm Multiple Projectile Round, CS	tear gas shot multi projectile	projectile	40	shot shell	1								Defense Technology®	https://www.defense-technology.com/	6172					DSC_0129.jpg		https://www.defense-technology.com/product/skat-shell-40-mm-multiple-projectile-round-cs/	40mm-Skat-Shell.pdf	Defense Technology 6172 - Skat Shell 40 mm Multiple Projectile Round CS.pdf	
5	Spede-Heat™ 40 mm Long-Range Round, Saf-Smoke™	smoke shot single projectile	projectile	40	shot shell						1			Defense Technology®	https://www.defense-technology.com/	6183					DSC_0133.jpg		https://www.defense-technology.com/product/spede-heat-40-mm-long-range-round-saf-smoke/	40mm-Spede-Heat-Long-Range.pdf	Defense Technology 6183 - Spede-Heat 40mm Long-Range Round - Saf-Smoke.pdf	
6	Skat Shell® 40 mm Multiple Projectile Round, Saf-Smoke™	smoke shot multi projectile	projectile	40	shot shell						1			Defense Technology®	https://www.defense-technology.com/	6173					DSC_0140.jpg		https://www.defense-technology.com/product/skat-shell-40-mm-multiple-projectile-round-saf-smoke/	40mm-Skat-Shell.pdf	Defense Technology 6173 - 40mm Skat-Shell Round Smoke.pdf	
7	Direct Impact® 40 mm Marking Crushable Foam Round	direct impact marking round	projectile	40	shot round								1	Defense Technology®	https://www.defense-technology.com/	6326					DSC_0170.jpg		https://www.defense-technology.com/product/direct-impact-40-mm-marking-crushable-foam-round/	40mm-Direct-Impact-Round.pdf	Defense Technology 6326 - Direct Impact 40mm Marking Crushable Foam Round.pdf	
8	eXact iMpact™ 40 mm Standard Range Sponge Round	exact impact  round	projectile	40	shot round									Defense Technology®	https://www.defense-technology.com/	6325					DSC_0178.jpg		https://www.defense-technology.com/product/exact-impact-40-mm-standard-range-sponge-round/	40mm-eXact-iMpact-Sponge-Round-6325_Updated-Specs.pdf	Defense Technology 6325 - eXact iMpact 40mm Sponge Round.pdf	
9	OC/CS Aerosol Grenade	aerosol oc cs grenade	grenade	6.7 15.9	aerosol	1	1							Defense Technology®	https://www.defense-technology.com/	1050					DSC_0183.jpg		https://www.defense-technology.com/product/oc-cs-aerosol-grenade/	OC_CS-Aerosol-Grenade.pdf	Defense Technology 1050 - Aerosol Grenade - OC and CS.pdf	
10	Riot Control Continuous Discharge Grenade, CS	riot control cs grenade	grenade	615.2	pyrotechnic	1								Defense Technology®	https://www.defense-technology.com/	1082					DSC_0189.jpg		https://www.defense-technology.com/product/riot-control-continuous-discharge-grenade-cs/	Riot-Control-Grenade.pdf	Defense Technology 1082 - Riot Control Continuous Discharge Grenade CS - US.pdf	dsc_0192.jpg shows fragmentation
